traffic_volume,holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time
6180.0,None,287.94,0.0,0.0,1.0,Clear,sky is clear,18-08-2017 07:00
664.0,None,269.15,0.0,0.0,90.0,Mist,mist,24-01-2016 02:00
402.0,None,298.49,0.0,0.0,1.0,Rain,moderate rain,16-06-2018 04:00
960.0,None,273.55,0.0,0.0,20.0,Clouds,few clouds,15-05-2016 06:00
5503.0,None,284.79,,0.0,40.0,Clouds,scattered clouds,04-05-2018 06:00
6383.0,None,294.0,0.0,0.0,1.0,,sky is clear,13-08-2018 07:00
4584.0,,270.94,0.0,0.0,75.0,Fog,fog,01-02-2016 11:00
4444.0,None,297.19,0.0,0.0,40.0,,scattered clouds,10-08-2015 11:00
387.0,None,284.75,0.0,0.0,1.0,Haze,haze,
4739.0,None,274.3,1.27,0.0,64.0,Rain,moderate rain,03-12-2013 13:00
,None,267.75,0.0,0.0,1.0,Clear,,14-03-2018 08:00
338.0,None,279.1,0.0,0.0,,Clouds,broken clouds,04-10-2015 04:00
4997.0,None,287.61,0.0,0.0,75.0,Clouds,broken clouds,27-11-2017 14:00
5883.0,None,270.08,0.0,0.0,90.0,Haze,,25-01-2018 17:00
4553.0,,300.23,0.0,0.0,0.0,Clear,,16-08-2016 11:00
383.0,None,281.03,0.0,0.0,90.0,Rain,light rain,27-04-2013 03:00
4621.0,None,295.95,0.0,0.0,90.0,Drizzle,light intensity drizzle,30-05-2018 18:00
386.0,None,289.34,0.0,0.0,1.0,Clear,sky is clear,04-08-2015 01:00
5939.0,None,,0.0,0.0,20.0,Clouds,few clouds,01-04-2013 17:00
3280.0,None,292.03,0.0,0.0,40.0,Clouds,scattered clouds,25-06-2017 19:00
4677.0,None,295.28,0.0,0.0,90.0,Rain,light rain,19-07-2018 11:00
698.0,None,264.95,0.0,0.0,1.0,Snow,light snow,
5769.0,None,291.08,0.0,0.0,90.0,Rain,light rain,20-06-2018 06:00
3782.0,None,296.6,0.0,0.0,8.0,Clear,sky is clear,13-08-2016 19:00
1511.0,,286.69,0.0,0.0,,Clear,sky is clear,19-10-2015 22:00
4699.0,None,294.58,,0.0,75.0,Mist,mist,29-08-2016 08:00
508.0,None,294.39,0.0,0.0,,Rain,light rain,10-07-2016 03:00
318.0,None,267.99,0.0,0.0,90.0,Mist,mist,21-12-2012 02:00
5541.0,None,293.82,0.0,0.0,90.0,Rain,moderate rain,18-06-2018 06:00
5704.0,,279.84,0.0,0.0,1.0,Clear,sky is clear,10-11-2016 06:00
5059.0,None,296.55,0.0,0.0,90.0,Rain,moderate rain,13-07-2018 13:00
357.0,None,296.5,0.0,0.0,1.0,Clear,sky is clear,28-07-2015 03:00
6788.0,None,294.35,0.0,0.0,1.0,Clear,sky is clear,31-08-2017 16:00
4878.0,None,277.43,0.0,0.0,90.0,Snow,light snow,19-02-2016 11:00
748.0,None,287.36,0.0,0.0,1.0,Clear,sky is clear,20-10-2017 00:00
2494.0,None,274.15,0.0,0.0,90.0,Mist,mist,23-12-2016 20:00
5875.0,None,282.88,0.0,0.0,90.0,Rain,light rain,19-04-2017 15:00
4525.0,None,269.41,0.0,0.0,90.0,Mist,mist,25-01-2018 10:00
4604.0,None,294.56,0.0,0.0,,Clear,,24-08-2013 10:00
728.0,None,257.52,0.0,0.0,75.0,Clouds,,14-01-2017 05:00
325.0,None,276.65,0.0,0.0,90.0,Rain,,14-12-2015 03:00
5111.0,None,291.84,0.0,0.0,1.0,Thunderstorm,proximity thunderstorm,25-05-2018 06:00
2726.0,None,294.03,0.0,0.0,40.0,Rain,light intensity shower rain,
,None,301.86,0.0,0.0,5.0,Clear,sky is clear,12-08-2018 13:00
2881.0,None,,0.0,0.0,,Clouds,,30-06-2016 05:00
4607.0,None,276.58,0.0,0.0,5.0,Clear,sky is clear,14-02-2018 18:00
378.0,None,286.51,0.0,0.0,1.0,Clear,sky is clear,10-06-2014 01:00
6235.0,None,297.93,0.0,,90.0,Drizzle,light intensity drizzle,16-08-2017 17:00
1883.0,None,292.14,0.0,0.0,,Clear,sky is clear,
2609.0,None,275.02,0.0,0.0,90.0,Drizzle,drizzle,20-01-2017 05:00
2712.0,None,265.78,0.0,0.0,90.0,Snow,light snow,11-12-2016 19:00
3191.0,None,293.734,0.0,0.0,,Clouds,overcast clouds,14-07-2016 19:00
4639.0,None,288.61,0.0,0.0,75.0,Clouds,broken clouds,
627.0,None,,0.0,0.0,1.0,Clear,sky is clear,22-07-2014 00:00
2243.0,None,274.28,0.0,0.0,90.0,Mist,mist,24-11-2016 10:00
6146.0,None,259.42,0.0,0.0,1.0,,,
4675.0,None,302.57,0.0,0.0,75.0,Clouds,broken clouds,
3218.0,None,275.15,0.0,0.0,,Rain,light rain,
2149.0,None,280.15,0.0,0.0,40.0,,,09-10-2017 21:00
6007.0,,266.08,0.0,0.0,5.0,Mist,mist,28-02-2018 08:00
6702.0,None,286.93,,0.0,90.0,Rain,moderate rain,22-05-2013 16:00
,None,264.58,0.0,0.0,90.0,Clouds,,04-03-2014 23:00
4634.0,None,294.15,0.0,0.0,75.0,Clouds,,
2541.0,None,,0.0,0.0,90.0,Snow,heavy snow,15-04-2013 05:00
5999.0,None,263.78,,0.0,,Clear,,14-02-2014 15:00
660.0,None,261.5,0.0,0.0,20.0,Clouds,few clouds,23-12-2012 06:00
462.0,None,273.77,0.0,0.0,90.0,Rain,moderate rain,11-04-2017 01:00
555.0,None,273.16,0.0,0.0,90.0,Mist,mist,24-04-2013 00:00
4682.0,None,290.48,0.0,0.0,90.0,Clouds,overcast clouds,
845.0,None,275.89,0.0,0.0,1.0,Clear,sky is clear,12-04-2017 04:00
4644.0,None,298.08,0.0,0.0,,Clouds,,21-07-2018 13:00
291.0,None,274.08,,0.0,90.0,,mist,11-01-2018 02:00
,None,271.7,0.0,0.0,90.0,Snow,heavy snow,12-02-2013 01:00
294.0,None,295.23,0.0,0.0,40.0,Clouds,scattered clouds,20-09-2017 02:00
4056.0,,274.15,0.0,0.0,90.0,Mist,mist,
4624.0,None,289.6,0.89,,90.0,Rain,moderate rain,28-08-2018 10:00
3828.0,None,296.56,0.0,0.0,92.0,Clouds,overcast clouds,03-08-2013 18:00
2720.0,None,270.11,,,1.0,Clear,sky is clear,25-04-2013 05:00
323.0,None,269.11,,0.0,64.0,Fog,,28-12-2013 04:00
4220.0,None,279.8,0.0,0.0,40.0,Clouds,,14-05-2016 13:00
353.0,None,274.35,0.0,0.0,,Clear,sky is clear,15-02-2018 01:00
2802.0,None,,0.0,0.0,75.0,Rain,light rain,06-08-2017 22:00
4800.0,None,271.41,0.0,0.0,75.0,Mist,mist,20-12-2012 12:00
6024.0,None,290.86,0.76,0.0,90.0,Drizzle,drizzle,24-09-2015 07:00
5476.0,None,268.68,,0.0,64.0,Clouds,broken clouds,11-11-2013 16:00
3814.0,None,273.45,0.0,0.0,90.0,Snow,,14-02-2013 22:00
5281.0,,265.46,0.0,,75.0,Clouds,broken clouds,
2381.0,None,283.88,0.0,0.0,90.0,Drizzle,drizzle,22-05-2013 21:00
1403.0,None,297.76,0.0,0.0,56.0,Clouds,broken clouds,26-06-2013 23:00
379.0,None,291.35,0.0,0.0,40.0,Clouds,scattered clouds,10-07-2015 03:00
2154.0,None,257.39,0.0,0.0,1.0,Clear,,01-01-2013 19:00
277.0,None,273.39,0.0,0.0,1.0,Clear,sky is clear,09-04-2014 02:00
6631.0,None,287.62,0.0,0.0,20.0,Clouds,few clouds,29-04-2016 16:00
1751.0,None,,0.0,0.0,1.0,Clear,sky is clear,24-04-2013 22:00
2315.0,None,262.28,0.0,0.0,,Mist,mist,10-12-2016 20:00
,,296.81,0.0,0.0,0.0,Clear,Sky is Clear,06-07-2013 01:00
2121.0,None,266.84,0.0,0.0,,Clouds,broken clouds,04-02-2017 08:00
4736.0,None,293.83,0.0,,1.0,,sky is clear,29-09-2013 12:00
2909.0,None,296.064,0.0,0.0,88.0,Rain,light rain,14-06-2015 20:00
1771.0,None,263.15,0.0,0.0,1.0,,sky is clear,
4767.0,None,299.37,0.0,0.0,0.0,Clear,Sky is Clear,18-08-2016 12:00
5391.0,None,298.73,0.0,0.0,1.0,Clear,sky is clear,09-07-2015 14:00
1535.0,None,293.75,0.0,0.0,1.0,Clear,sky is clear,04-07-2013 08:00
571.0,None,261.28,0.0,0.0,1.0,Clear,sky is clear,11-03-2017 02:00
3280.0,None,,0.0,0.0,1.0,,sky is clear,26-11-2017 10:00
,None,289.11,0.0,0.0,1.0,Clear,sky is clear,
2740.0,None,291.2,7.11,0.0,90.0,Rain,heavy intensity rain,20-09-2018 20:00
3774.0,None,301.9,0.0,0.0,68.0,,broken clouds,07-07-2013 19:00
871.0,None,289.11,0.0,0.0,1.0,Clear,sky is clear,18-08-2015 04:00
5626.0,None,295.8,0.0,0.0,0.0,Clear,Sky is Clear,24-07-2013 14:00
2158.0,,,0.0,0.0,90.0,,shower drizzle,13-04-2018 21:00
737.0,None,285.122,,0.0,64.0,Clouds,broken clouds,20-02-2017 04:00
5480.0,None,265.29,0.0,0.0,90.0,Haze,haze,06-12-2017 15:00
581.0,,290.02,,0.0,90.0,Rain,moderate rain,19-08-2015 00:00
855.0,None,270.68,0.0,0.0,,Clouds,broken clouds,29-12-2016 04:00
2168.0,None,286.76,,0.0,1.0,Clear,sky is clear,07-11-2016 20:00
490.0,None,281.28,0.0,0.0,,Clear,sky is clear,08-04-2017 03:00
2900.0,None,,0.0,0.0,90.0,Rain,moderate rain,26-07-2017 05:00
4824.0,,274.42,0.0,0.0,90.0,Clouds,overcast clouds,11-12-2017 14:00
4707.0,None,265.81,0.0,0.0,90.0,Snow,light snow,20-02-2018 09:00
5954.0,None,274.75,0.0,0.0,,Rain,light rain,18-03-2016 17:00
799.0,None,286.71,0.0,0.0,90.0,Mist,mist,15-04-2017 01:00
4541.0,None,287.9,0.0,0.0,1.0,Clear,,07-05-2017 13:00
,None,272.29,0.0,0.0,75.0,Clouds,broken clouds,08-03-2013 13:00
2763.0,None,289.87,0.0,0.0,1.0,Thunderstorm,proximity thunderstorm,09-09-2016 05:00
1175.0,None,249.46,0.0,0.0,1.0,Clear,sky is clear,13-01-2018 06:00
785.0,None,271.53,0.0,,90.0,Snow,light snow,07-03-2017 04:00
829.0,None,,0.0,0.0,40.0,Clouds,,
5225.0,,296.09,0.0,0.0,1.0,Clear,sky is clear,22-06-2018 12:00
3720.0,None,299.13,,,75.0,Rain,light rain,05-07-2016 11:00
4383.0,None,,0.0,0.0,5.0,Mist,mist,05-01-2017 10:00
1757.0,None,254.9,0.0,0.0,1.0,Clear,sky is clear,07-01-2017 23:00
3130.0,None,,0.0,0.0,90.0,Rain,light rain,06-09-2015 19:00
6011.0,None,288.48,0.0,0.0,0.0,Clear,Sky is Clear,21-09-2016 08:00
4689.0,None,272.29,0.0,0.0,90.0,Snow,snow,03-04-2018 15:00
4563.0,None,293.95,0.0,0.0,1.0,Clear,sky is clear,27-09-2015 10:00
1898.0,None,,0.0,0.0,,Clear,,21-08-2013 22:00
,None,280.58,0.0,0.0,40.0,Clouds,scattered clouds,10-03-2014 10:00
843.0,,270.69,0.0,0.0,90.0,Mist,mist,26-12-2015 06:00
,None,281.77,0.0,0.0,,Clear,sky is clear,10-10-2017 12:00
735.0,None,290.06,,0.0,,Clouds,broken clouds,30-07-2016 00:00
1604.0,None,296.59,0.0,0.0,12.0,,few clouds,07-07-2013 08:00
1274.0,,258.45,0.0,0.0,,Clouds,few clouds,13-01-2013 22:00
5310.0,,300.79,,0.0,1.0,Clear,sky is clear,02-07-2013 13:00
3201.0,None,295.9,9.4,0.0,1.0,Haze,haze,29-06-2015 19:00
5843.0,None,299.15,0.0,0.0,1.0,,sky is clear,22-06-2018 15:00
,None,,0.0,0.0,90.0,Rain,moderate rain,16-03-2016 07:00
444.0,None,281.16,0.0,0.0,90.0,Rain,light rain,13-10-2015 00:00
724.0,None,291.42,0.0,0.0,1.0,Clear,sky is clear,14-06-2018 00:00
2686.0,None,260.52,0.0,0.0,1.0,Clear,sky is clear,22-02-2014 20:00
5652.0,None,292.59,0.0,0.0,90.0,Thunderstorm,proximity thunderstorm with rain,22-06-2017 15:00
,None,275.84,0.0,0.0,90.0,Clouds,overcast clouds,08-04-2013 02:00
2669.0,None,295.46,0.25,0.0,1.0,Rain,light rain,02-09-2018 21:00
4546.0,None,,0.0,0.0,90.0,Rain,,19-06-2018 18:00
5119.0,None,,0.25,0.0,68.0,Rain,light rain,
2460.0,None,272.55,0.0,0.0,90.0,,light rain,
4783.0,None,277.23,0.0,,,Mist,mist,08-12-2015 18:00
2504.0,None,275.22,0.0,0.0,90.0,Rain,light rain,16-03-2017 21:00
401.0,None,273.5,0.0,0.0,40.0,Clouds,,
2484.0,None,281.4,0.0,0.0,64.0,Fog,fog,16-11-2013 20:00
4848.0,None,287.98,,0.0,90.0,Clouds,overcast clouds,28-05-2013 13:00
2225.0,None,276.67,0.0,0.0,20.0,Clouds,few clouds,14-05-2016 23:00
6052.0,None,304.34,0.0,0.0,40.0,Clouds,scattered clouds,05-07-2017 16:00
5736.0,None,279.22,0.0,0.0,90.0,Clouds,overcast clouds,25-03-2017 16:00
289.0,None,277.01,0.0,0.0,90.0,Drizzle,drizzle,13-12-2015 04:00
2062.0,None,271.25,0.0,0.0,,Clouds,overcast clouds,18-02-2013 21:00
4497.0,,263.5,,0.0,1.0,Clear,sky is clear,27-11-2012 11:00
425.0,None,285.21,0.0,0.0,1.0,Clear,sky is clear,02-07-2016 04:00
1244.0,None,269.49,0.0,0.0,90.0,Clouds,overcast clouds,20-12-2012 23:00
301.0,None,275.59,0.0,0.0,90.0,Mist,mist,
,None,296.13,0.78,0.0,75.0,Thunderstorm,thunderstorm,05-09-2015 07:00
4911.0,None,296.08,0.0,0.0,90.0,Clouds,overcast clouds,12-06-2018 12:00
3214.0,None,294.08,0.0,0.0,75.0,Clouds,broken clouds,18-08-2017 20:00
4764.0,None,294.15,0.0,0.0,,Clear,sky is clear,
1480.0,None,289.14,0.0,0.0,90.0,Clouds,overcast clouds,06-08-2017 23:00
4261.0,None,284.94,0.0,0.0,90.0,Drizzle,heavy intensity drizzle,17-11-2015 18:00
2892.0,None,262.15,0.0,0.0,90.0,Mist,mist,03-02-2018 22:00
,,272.95,0.0,0.0,90.0,Mist,mist,02-01-2017 20:00
800.0,None,264.65,0.0,0.0,90.0,,light snow,13-03-2017 04:00
5480.0,None,286.48,0.0,0.0,40.0,Clouds,scattered clouds,07-04-2014 13:00
5032.0,None,270.82,0.0,0.0,90.0,,heavy snow,11-02-2013 08:00
5005.0,None,294.56,0.0,,40.0,Clouds,scattered clouds,19-05-2016 13:00
4492.0,None,275.43,0.0,,90.0,Snow,heavy snow,
5164.0,None,295.72,,,90.0,Rain,moderate rain,15-09-2016 14:00
4914.0,None,292.87,,0.0,40.0,Clouds,scattered clouds,09-08-2013 10:00
6170.0,None,280.091,0.0,0.0,0.0,Clear,Sky is Clear,06-10-2016 07:00
517.0,None,294.36,0.0,0.0,,,sky is clear,07-09-2015 01:00
3670.0,,267.86,0.0,0.0,40.0,Clouds,scattered clouds,23-01-2018 13:00
,None,276.16,0.0,0.0,1.0,Clear,sky is clear,15-03-2013 19:00
4235.0,None,272.58,0.0,0.0,90.0,Clouds,,05-11-2017 17:00
,None,,0.0,0.0,80.0,Clouds,broken clouds,26-06-2013 18:00
,None,279.79,0.0,0.0,87.0,Rain,light rain,19-10-2012 04:00
3276.0,None,276.08,0.0,0.0,90.0,Clouds,overcast clouds,11-12-2015 20:00
5192.0,None,256.35,0.0,,40.0,Mist,mist,08-02-2018 09:00
6094.0,None,276.37,0.0,0.0,90.0,Mist,,22-02-2017 07:00
4509.0,None,258.59,0.0,0.0,75.0,Snow,heavy snow,14-01-2013 12:00
5565.0,None,289.17,0.0,0.0,0.0,Clear,Sky is Clear,20-06-2016 06:00
570.0,None,270.99,0.0,,1.0,Clear,sky is clear,
1556.0,None,291.61,0.25,0.0,75.0,Rain,light rain,03-09-2018 07:00
365.0,None,260.86,0.0,0.0,90.0,Snow,light snow,14-12-2013 03:00
3455.0,None,281.46,0.0,0.0,,Clouds,broken clouds,
5646.0,None,276.45,0.25,0.0,90.0,Rain,light rain,27-03-2014 08:00
4997.0,None,254.93,0.0,0.0,40.0,Clouds,scattered clouds,15-12-2016 12:00
2399.0,None,284.95,0.0,0.0,40.0,Clouds,scattered clouds,27-11-2017 20:00
1481.0,None,275.29,,0.0,90.0,Rain,moderate rain,25-12-2016 22:00
248.0,None,278.95,0.0,,20.0,Clouds,few clouds,23-04-2014 02:00
374.0,,284.75,,0.0,40.0,Clouds,scattered clouds,08-05-2017 01:00
4393.0,None,290.7,0.0,0.0,80.0,,,05-08-2013 10:00
4326.0,None,296.115,0.0,0.0,12.0,Clouds,few clouds,08-09-2013 15:00
5007.0,None,278.18,0.0,0.0,90.0,Clouds,overcast clouds,06-04-2013 13:00
5518.0,None,287.33,0.0,0.0,20.0,Clouds,few clouds,
6097.0,None,269.55,0.0,0.0,90.0,Clouds,overcast clouds,13-03-2017 17:00
3210.0,None,,0.0,0.0,40.0,Clouds,scattered clouds,01-04-2014 19:00
1143.0,None,275.91,0.0,0.0,1.0,Haze,haze,31-03-2013 23:00
395.0,None,272.49,0.0,0.0,90.0,Mist,,01-03-2017 01:00
4934.0,None,297.52,0.0,0.0,75.0,Clouds,broken clouds,16-05-2017 14:00
5957.0,None,281.75,0.0,0.0,1.0,Clear,sky is clear,27-10-2015 08:00
2837.0,None,264.86,0.0,0.0,64.0,Clouds,broken clouds,20-12-2013 20:00
363.0,None,292.3,0.0,0.0,1.0,Clear,,26-05-2018 03:00
451.0,None,291.31,0.0,0.0,1.0,Clear,,
372.0,None,284.27,0.25,0.0,68.0,,light rain,07-06-2013 03:00
5301.0,None,292.43,0.0,0.0,40.0,Mist,mist,24-05-2016 08:00
2408.0,,276.36,,,90.0,Clouds,overcast clouds,02-04-2014 21:00
594.0,None,268.35,0.0,0.0,90.0,Fog,,14-04-2018 22:00
4829.0,,298.01,0.0,0.0,75.0,Clouds,broken clouds,11-07-2018 10:00
3276.0,None,,0.0,0.0,90.0,Rain,moderate rain,01-06-2013 19:00
4297.0,None,274.35,,0.0,90.0,Rain,light rain,01-11-2017 18:00
886.0,None,257.08,0.0,0.0,1.0,Clear,sky is clear,
4904.0,None,285.59,0.0,0.0,90.0,Mist,mist,28-05-2013 09:00
516.0,None,260.15,0.0,0.0,1.0,Clear,sky is clear,21-02-2018 00:00
,None,296.58,0.0,0.0,,Thunderstorm,thunderstorm with light rain,
237.0,None,258.42,0.0,0.0,1.0,Clear,sky is clear,21-02-2018 02:00
2920.0,None,282.73,0.0,0.0,1.0,,,03-11-2016 20:00
4304.0,None,297.7,0.3,0.0,75.0,Rain,light rain,22-08-2015 18:00
5060.0,None,273.87,0.0,,90.0,Clouds,overcast clouds,03-04-2014 09:00
5361.0,None,272.65,0.0,0.0,90.0,,fog,04-03-2016 13:00
3503.0,None,,0.76,0.0,90.0,,mist,25-08-2018 08:00
520.0,None,264.62,,0.0,90.0,Clouds,overcast clouds,16-02-2014 02:00
4352.0,None,287.67,0.0,0.0,90.0,Clouds,overcast clouds,22-05-2013 10:00
4715.0,,290.34,0.0,0.0,20.0,Clouds,few clouds,02-05-2016 13:00
2695.0,None,291.16,0.0,,75.0,Rain,light rain,08-07-2016 05:00
707.0,None,291.573,0.0,0.0,92.0,Clouds,overcast clouds,15-10-2016 05:00
5426.0,None,,0.0,,40.0,,scattered clouds,12-05-2017 13:00
6717.0,None,279.94,0.0,0.0,90.0,Mist,mist,14-11-2017 16:00
1660.0,None,255.15,0.0,0.0,1.0,Clear,sky is clear,12-02-2016 23:00
4079.0,None,272.04,0.0,0.0,90.0,Snow,heavy snow,20-04-2013 10:00
5453.0,None,293.9,0.0,0.0,90.0,Fog,fog,03-09-2015 09:00
5966.0,None,271.62,0.0,0.0,90.0,Snow,light snow,07-03-2017 06:00
,None,274.61,,0.0,90.0,Mist,mist,27-10-2017 01:00
5111.0,None,291.84,0.0,0.0,1.0,Rain,light rain,25-05-2018 06:00
2483.0,None,274.32,0.25,0.0,64.0,Rain,light rain,27-12-2013 20:00
1858.0,None,274.98,0.0,0.0,90.0,Mist,mist,25-12-2016 21:00
1192.0,None,290.5,0.0,0.0,100.0,Rain,light rain,20-08-2016 00:00
785.0,None,266.35,0.0,0.0,90.0,Snow,heavy snow,24-02-2013 01:00
605.0,,279.82,0.0,0.0,1.0,Clear,sky is clear,13-11-2016 01:00
6452.0,None,,0.0,0.0,,Clear,sky is clear,23-08-2017 07:00
5409.0,None,269.23,0.0,0.0,90.0,Clouds,overcast clouds,
372.0,None,265.58,0.0,0.0,64.0,Mist,mist,10-01-2014 03:00
600.0,None,258.78,0.25,0.0,,Snow,light snow,26-01-2014 01:00
3122.0,None,293.87,0.0,0.0,12.0,Clouds,few clouds,13-06-2013 21:00
,None,,0.0,0.0,90.0,Clouds,overcast clouds,27-03-2013 10:00
2960.0,None,294.87,,0.0,75.0,Rain,light rain,11-06-2017 20:00
4974.0,None,294.37,0.0,0.0,40.0,Clouds,scattered clouds,01-07-2016 14:00
3353.0,None,286.49,,0.0,1.0,Clear,sky is clear,03-07-2017 06:00
4482.0,None,299.49,0.0,0.0,,Clear,Sky is Clear,06-08-2016 16:00
508.0,None,288.78,0.0,0.0,1.0,Fog,fog,09-07-2016 03:00
3453.0,None,304.5,,0.0,20.0,Clouds,few clouds,
4547.0,None,290.68,0.0,0.0,40.0,Clouds,scattered clouds,01-04-2017 18:00
3832.0,None,249.15,0.0,0.0,1.0,Clear,sky is clear,31-12-2013 06:00
3299.0,None,264.68,0.0,0.0,,Clear,,27-12-2015 11:00
6541.0,,270.3,0.0,0.0,,Clouds,overcast clouds,06-03-2014 16:00
,None,265.92,0.0,,,Mist,mist,28-12-2012 19:00
2484.0,None,270.12,,0.0,75.0,Clouds,broken clouds,
2863.0,None,294.28,,0.0,90.0,Rain,light rain,04-09-2018 05:00
2776.0,None,258.84,0.0,0.0,75.0,Mist,mist,07-02-2018 05:00
244.0,None,288.36,,0.0,90.0,Fog,fog,12-09-2017 02:00
5511.0,None,270.65,0.0,0.0,90.0,,fog,25-01-2016 07:00
4724.0,,273.95,0.0,0.0,90.0,Snow,snow,23-11-2016 07:00
1767.0,None,,0.0,0.0,90.0,Clouds,overcast clouds,16-10-2012 22:00
807.0,None,271.22,0.0,0.0,90.0,Mist,mist,06-03-2018 04:00
625.0,None,290.85,0.0,0.0,1.0,Clear,sky is clear,31-07-2018 00:00
399.0,,277.23,0.0,0.0,1.0,Mist,mist,21-11-2012 01:00
,None,276.65,0.0,0.0,5.0,Clear,sky is clear,18-01-2017 17:00
4837.0,None,276.07,0.0,0.0,90.0,Mist,mist,04-11-2017 12:00
3621.0,None,270.02,0.0,0.0,90.0,Clouds,overcast clouds,08-02-2013 19:00
4734.0,,288.11,1.65,0.0,90.0,Mist,mist,19-09-2018 12:00
357.0,None,250.03,,0.0,1.0,Mist,mist,06-01-2017 02:00
1489.0,None,292.48,0.0,0.0,0.0,,light rain,
4113.0,None,256.67,0.0,0.0,85.0,,overcast clouds,
4819.0,None,299.75,0.0,0.0,1.0,Clear,sky is clear,14-06-2018 18:00
4165.0,None,295.931,0.0,0.0,92.0,Clouds,,15-10-2016 17:00
669.0,None,,0.0,0.0,90.0,Snow,light snow,17-12-2016 00:00
1095.0,,278.04,0.0,0.0,75.0,Clouds,broken clouds,06-04-2014 07:00
2486.0,None,,0.34,0.0,92.0,Rain,light rain,15-10-2013 21:00
7117.0,None,299.75,0.0,0.0,20.0,Clouds,,11-09-2017 16:00
